A_SMILES,B_SMILES,AB_SMILES,TYPE
CN1C=C(NC(=O)OC(C)(C)C)C=C1C([*])=O,CN1C=C(N[*:1])C=C1C([*:2])=O,Cn1cc(NC(=O)OC(C)(C)C)cc1C(=O)*[*:1]Nc1cc(C(=O)[*:2])n(C)c1,1b(BOC) + 1b
CN1C=C(NC(=O)OC(C)(C)C)C=C1C([*])=O,[*:1]NC1=CC=C(C=C1)C([*:2])=O,Cn1cc(NC(=O)OC(C)(C)C)cc1C(=O)*[*:1]Nc1ccc(C(=O)[*:2])cc1,1b(BOC) + 5b
CN1C=C(NC(=O)OC(C)(C)C)C=C1C([*])=O,[*:1]NC1=CC(=CC=C1)C([*:2])=O,Cn1cc(NC(=O)OC(C)(C)C)cc1C(=O)*[*:1]Nc1cccc(C(=O)[*:2])c1,1b(BOC) + 6b
CN1C=C(NC(=O)OC(C)(C)C)C=C1C([*])=O,[*:1]NC1=NC(=CS1)C([*:2])=O,Cn1cc(NC(=O)OC(C)(C)C)cc1C(=O)*[*:1]Nc1nc(C(=O)[*:2])cs1,1b(BOC) + 7b
CN1C=C(NC(=O)OC(C)(C)C)C=C1C([*])=O,[*:1]NC1=CSC(=C1)C([*:2])=O,Cn1cc(NC(=O)OC(C)(C)C)cc1C(=O)*[*:1]Nc1csc(C(=O)[*:2])c1,1b(BOC) + 8b
CN1C=C(NC(=O)OC(C)(C)C)C=C1C([*])=O,CN1C=C(N[*:1])N=C1C([*:2])=O,Cn1cc(NC(=O)OC(C)(C)C)cc1C(=O)*[*:1]Nc1cn(C)c(C(=O)[*:2])n1,1b(BOC) + 9b
CN1C=C(NC(=O)OC(C)(C)C)C=C1C([*])=O,[*:1]N1CCC2=C1C=CC1=C2C=C(N1)C([*:2])=O,Cn1cc(NC(=O)OC(C)(C)C)cc1C(=O)*[*:1]N1CCc2c1ccc1[nH]c(C(=O)[*:2])cc21,1b(BOC) + 10b
CN1C=C(NC(=O)OC(C)(C)C)C=C1C([*])=O,[*:1]NC1=CC2=C(SC(=C2)C([*:2])=O)C=C1,Cn1cc(NC(=O)OC(C)(C)C)cc1C(=O)*[*:1]Nc1ccc2sc(C(=O)[*:2])cc2c1,1b(BOC) + 11b
CN1C=C(NC(=O)OC(C)(C)C)C=C1C([*])=O,[*:1]NC1=CC2=C(OC(=C2)C([*:2])=O)C=C1,Cn1cc(NC(=O)OC(C)(C)C)cc1C(=O)*[*:1]Nc1ccc2oc(C(=O)[*:2])cc2c1,1b(BOC) + 12b
CN1C=C(NC(=O)OC(C)(C)C)C=C1C([*])=O,[*:1]NC1=CC2=C(NC(=C2)C([*:2])=O)C=C1,Cn1cc(NC(=O)OC(C)(C)C)cc1C(=O)*[*:1]Nc1ccc2[nH]c(C(=O)[*:2])cc2c1,1b(BOC) + 13b
CN1C=C(NC(=O)OC(C)(C)C)C=C1C([*])=O,[*:1]NC1=CC2=C(C=C1)N=C(O2)C([*:2])=O,Cn1cc(NC(=O)OC(C)(C)C)cc1C(=O)*[*:1]Nc1ccc2nc(C(=O)[*:2])oc2c1,1b(BOC) + 14b
