molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
CHEMBL540264,=,=,IC50,nM,445.0,IC50,nM,445.0
CHEMBL540264,=,=,IC50,nM,0.42,IC50,nM,0.42
CHEMBL540264,=,=,Resistance index,,175.4,Resistance index,,175.4
CHEMBL540264,=,=,IC50,nM,1.2,IC50,nM,1.2
CHEMBL540264,=,=,Resistance index,,169.9,Resistance index,,169.9
CHEMBL117594,>,>,ID50,ug ml-1,100.0,ID50,ug ml-1,100.0
CHEMBL117594,=,=,Inhibition,%,0.0,Inhibition,%,0.0
CHEMBL115422,=,=,ID50,ug ml-1,245.0,ID50,ug ml-1,245.0
CHEMBL332748,>,>,ID50,ug ml-1,100.0,ID50,ug ml-1,100.0
CHEMBL332748,=,=,Inhibition,%,13.0,Inhibition,%,13.0
CHEMBL116032,=,=,ID50,ug ml-1,30.5,ID50,ug ml-1,30.5
CHEMBL116032,=,=,Inhibition,%,28.0,Inhibition,%,28.0
CHEMBL116694,=,=,ID50,ug ml-1,40.3,ID50,ug ml-1,40.3
CHEMBL116694,=,=,Inhibition,%,0.0,Inhibition,%,0.0
CHEMBL116666,=,=,ID50,ug ml-1,8.7,ID50,ug ml-1,8.7
CHEMBL116666,=,=,Inhibition,%,29.0,Inhibition,%,29.0
CHEMBL277393,=,=,ID50,ug ml-1,276.0,ID50,ug ml-1,276.0
CHEMBL416174,=,=,ID50,ug ml-1,174.0,ID50,ug ml-1,174.0
CHEMBL540264,=,=,IC50,ug.mL-1,0.285,IC50,ng ml-1,285.0
CHEMBL540264,,,OD,,,OD,mg kg-1,
CHEMBL540264,=,=,R.I,,175.4,R.I,,175.4
CHEMBL540264,=,=,R.I,,169.9,R.I,,169.9
CHEMBL554387,>,>,IC50,nM,3000.0,IC50,nM,3000.0
CHEMBL554387,,,OD,,,OD,mg kg-1,
CHEMBL308990,>,>,ID50,ug ml-1,100.0,ID50,ug ml-1,100.0
CHEMBL307254,>,>,ID50,ug ml-1,100.0,ID50,ug ml-1,100.0
CHEMBL306518,=,=,ID50,ug ml-1,3.34,ID50,ug ml-1,3.34
CHEMBL404767,>,>,ID50,ug ml-1,100.0,ID50,ug ml-1,100.0
CHEMBL405929,>,>,ID50,ug ml-1,100.0,ID50,ug ml-1,100.0
CHEMBL76734,>,>,ID50,ug ml-1,100.0,ID50,ug ml-1,100.0
CHEMBL420202,>,>,ID50,ug ml-1,100.0,ID50,ug ml-1,100.0
CHEMBL80316,=,=,ID50,ug ml-1,10.8,ID50,ug ml-1,10.8
CHEMBL76369,=,=,ID50,ug ml-1,24.3,ID50,ug ml-1,24.3
CHEMBL308256,=,=,ID50,ug ml-1,4.21,ID50,ug ml-1,4.21
CHEMBL76689,=,=,ID50,ug ml-1,28.5,ID50,ug ml-1,28.5
CHEMBL554387,=,=,IC50,nM,2000.0,IC50,nM,2000.0
CHEMBL539359,>,>,IPol,nM,50000.0,IPol,nM,50000.0
CHEMBL544214,>,>,IPol,nM,100000.0,IPol,nM,100000.0
CHEMBL2093930,>,>,IPol,nM,50000.0,IPol,nM,50000.0
