chembl_id,nn_tanimoto,smiles
CHEMBL540264,1.0,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc(NC=O)cn4C)cn3C)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL117594,0.706,Cn1cc(NC(=O)c2cc(NC(=O)CCCCl)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL115422,0.7,Cn1cc(NC(=O)c2cc(NC(=O)CNC(=N)N)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL332748,0.7,Cn1cc(NC(=O)c2cc(NC(=O)C(Cl)Cl)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL116032,0.714,Cn1cc(NC(=O)c2cc(NC(=O)C(Cl)(Cl)Cl)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL116694,0.714,Cn1cc(NC(=O)c2cc(NC(=O)CF)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL116666,0.729,Cn1cc(NC(=O)c2cc(NC(=O)CCl)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL277393,0.745,Cn1cc(NC(=O)c2cc(N)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL416174,0.745,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(N)cn3C)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL554387,0.735,C=CC(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCC(=N)N)n(C)c4)n(C)c3)n(C)c2)n(C)c1
CHEMBL308990,0.761,Cn1cc(NC(=O)c2cc(NC(=O)CCC(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCC(=N)N)n(C)c4)n(C)c3)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL307254,0.778,Cn1cc(NC(=O)c2cc(NC(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCC(=N)N)n(C)c4)n(C)c3)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL306518,0.75,Cn1cc(NC(=O)c2cc(NC(=O)CCCCCCC(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCC(=N)N)n(C)c4)n(C)c3)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL404767,0.75,Cn1cc(NC(=O)c2cc(NC(=O)CCCCCC(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCC(=N)N)n(C)c4)n(C)c3)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL405929,0.761,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)CCC(=O)Nc4cc(C(=O)Nc5cc(C(=O)Nc6cc(C(=O)NCCC(=N)N)n(C)c6)n(C)c5)n(C)c4)cn3C)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL76734,0.766,Cn1cc(NC(=O)c2cc(NC(=O)CCCC(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCC(=N)N)n(C)c4)n(C)c3)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL420202,0.717,Cn1cc(NC(=O)CCC(=O)Nc2cc(C(=O)NCCC(=N)N)n(C)c2)cc1C(=O)NCCC(=N)N
CHEMBL80316,0.75,Cn1cc(NC(=O)c2cc(NC(=O)CCCCCCCC(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCC(=N)N)n(C)c4)n(C)c3)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL76369,0.766,Cn1cc(NC(=O)c2cc(NC(=O)CCCCC(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCC(=N)N)n(C)c4)n(C)c3)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL308256,0.75,Cn1cc(NC(=O)c2cc(NC(=O)CCCCCCCCC(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCC(=N)N)n(C)c4)n(C)c3)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL76689,0.761,Cn1cc(NC(=O)c2cc(NC(=O)CC(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCC(=N)N)n(C)c4)n(C)c3)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL539359,0.735,C=CC(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)NCCC(=N)N)n(C)c3)n(C)c2)n(C)c1
CHEMBL544214,0.72,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)/C=C/Cl)cn3C)cn2C)cc1C(=O)NCCC(=N)N
CHEMBL2093930,0.72,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)/C=C\Cl)cn3C)cn2C)cc1C(=O)NCCC(=N)N
