SMILES,TYPE,IC50
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)cn1C,1b(BOC) + 1b + 1a,
COC(=O)c1ccc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)cc1,1b(BOC) + 1b + 5a,
COC(=O)c1cccc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)c1,1b(BOC) + 1b + 6a,
CCOC(=O)c1csc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)n1,1b(BOC) + 1b + 7a,
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)cs1,1b(BOC) + 1b + 8a,
CCOC(=O)c1nc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)cn1C,1b(BOC) + 1b + 9a,
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc(NC(=O)OC(C)(C)C)cn2C)cn1C)CC3,1b(BOC) + 1b + 10a,
COC(=O)c1cc2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cn3C)ccc2s1,1b(BOC) + 1b + 11a,
COC(=O)c1cc2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cn3C)ccc2o1,1b(BOC) + 1b + 12a,
CCOC(=O)c1cc2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cn3C)ccc2[nH]1,1b(BOC) + 1b + 13a,
COC(=O)c1nc2ccc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cn3C)cc2o1,1b(BOC) + 1b + 14a,
COC(=O)c1nc2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cn3C)ccc2[nH]1,1b(BOC) + 1b + 15a,
