SMILES,IC50,censored
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)cn1C,32.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc(NC(=O)OC(C)(C)C)cn2C)cs1)CC3,0.82,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc(NC(=O)OC(C)(C)C)cn2C)CC4)cn1C,26.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3s2)cn1C,100.0,True
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3o2)cn1C,0.3,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cn2C)cn1C,44.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc(NC(=O)CCCN(C)C)cn2C)cs1)CC3,220.0,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc(NC(=O)CCCN(C)C)cn2C)CC4)cn1C,100.0,True
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)CCCN(C)C)cn4C)ccc3s2)cn1C,32.0,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3ccc(NC(=O)OC(C)(C)C)cc3)cn2C)cn1C,31.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2ccc(NC(=O)OC(C)(C)C)cc2)cs1)CC3,25.0,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2ccc(NC(=O)OC(C)(C)C)cc2)CC4)cn1C,30.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4ccc(NC(=O)OC(C)(C)C)cc4)ccc3s2)cn1C,1.7,False
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4ccc(NC(=O)OC(C)(C)C)cc4)ccc3o2)cn1C,2.7,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3ccc(NC(=O)CCCN(C)C)cc3)cn2C)cn1C,53.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2ccc(NC(=O)CCCN(C)C)cc2)cs1)CC3,230.0,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2ccc(NC(=O)CCCN(C)C)cc2)CC4)cn1C,32.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4ccc(NC(=O)CCCN(C)C)cc4)ccc3s2)cn1C,4.7,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cccc(NC(=O)OC(C)(C)C)c3)cn2C)cn1C,32.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cccc(NC(=O)OC(C)(C)C)c2)cs1)CC3,2.3,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cccc(NC(=O)OC(C)(C)C)c2)CC4)cn1C,35.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cccc(NC(=O)OC(C)(C)C)c4)ccc3s2)cn1C,0.13,False
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cccc(NC(=O)OC(C)(C)C)c4)ccc3o2)cn1C,100.0,True
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cccc(NC(=O)CCCN(C)C)c3)cn2C)cn1C,41.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cccc(NC(=O)CCCN(C)C)c2)cs1)CC3,420.0,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cccc(NC(=O)CCCN(C)C)c2)CC4)cn1C,32.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cccc(NC(=O)CCCN(C)C)c4)ccc3s2)cn1C,32.0,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3csc(NC(=O)OC(C)(C)C)n3)cn2C)cn1C,30.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2csc(NC(=O)OC(C)(C)C)n2)cs1)CC3,1.9,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2csc(NC(=O)OC(C)(C)C)n2)CC4)cn1C,33.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4csc(NC(=O)OC(C)(C)C)n4)ccc3s2)cn1C,0.24,False
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4csc(NC(=O)OC(C)(C)C)n4)ccc3o2)cn1C,0.34,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3csc(NC(=O)CCCN(C)C)n3)cn2C)cn1C,100.0,True
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2csc(NC(=O)CCCN(C)C)n2)cs1)CC3,200.0,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2csc(NC(=O)CCCN(C)C)n2)CC4)cn1C,34.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4csc(NC(=O)CCCN(C)C)n4)ccc3s2)cn1C,3.3,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cs3)cn2C)cn1C,37.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc(NC(=O)OC(C)(C)C)cs2)cs1)CC3,7.5,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc(NC(=O)OC(C)(C)C)cs2)CC4)cn1C,17.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cs4)ccc3s2)cn1C,0.65,False
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cs4)ccc3o2)cn1C,1.5,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)CCCN(C)C)cs3)cn2C)cn1C,100.0,True
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc(NC(=O)CCCN(C)C)cs2)cs1)CC3,20.0,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc(NC(=O)CCCN(C)C)cs2)CC4)cn1C,25.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)CCCN(C)C)cs4)ccc3s2)cn1C,32.0,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3nc(NC(=O)OC(C)(C)C)cn3C)cn2C)cn1C,84.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2nc(NC(=O)OC(C)(C)C)cn2C)cs1)CC3,45.0,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2nc(NC(=O)OC(C)(C)C)cn2C)CC4)cn1C,9.5,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4nc(NC(=O)OC(C)(C)C)cn4C)ccc3s2)cn1C,6.3,False
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4nc(NC(=O)OC(C)(C)C)cn4C)ccc3o2)cn1C,1.8,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3nc(NC(=O)CCCN(C)C)cn3C)cn2C)cn1C,100.0,True
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2nc(NC(=O)CCCN(C)C)cn2C)cs1)CC3,64.0,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2nc(NC(=O)CCCN(C)C)cn2C)CC4)cn1C,48.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4nc(NC(=O)CCCN(C)C)cn4C)ccc3s2)cn1C,32.0,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc4c5c(ccc4[nH]3)N(C(=O)OC(C)(C)C)CC5)cn2C)cn1C,4.2,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc4c5c(ccc4[nH]2)N(C(=O)OC(C)(C)C)CC5)cs1)CC3,0.8,False
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc3c5c(ccc3[nH]2)N(C(=O)OC(C)(C)C)CC5)CC4)cn1C,0.44,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5c6c(ccc5[nH]4)N(C(=O)OC(C)(C)C)CC6)ccc3s2)cn1C,0.55,False
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cc5c6c(ccc5[nH]4)N(C(=O)OC(C)(C)C)CC6)ccc3o2)cn1C,1.3,False
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc4c5c(ccc4[nH]3)N(C(=O)CCCN(C)C)CC5)cn2C)cn1C,51.0,False
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc4c5c(ccc4[nH]2)N(C(=O)CCCN(C)C)CC5)cs1)CC3,1000.0,True
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc3c5c(ccc3[nH]2)N(C(=O)CCCN(C)C)CC5)CC4)cn1C,32.0,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5c6c(ccc5[nH]4)N(C(=O)CCCN(C)C)CC6)ccc3s2)cn1C,100.0,True
