ID,SMILES,TYPE
A,CN1C=C(NC(=O)OC(C)(C)C)C=C1C([*])=O,1b(BOC)
A,CN(C)CCCC(=O)NC1=CN(C)C(=C1)C([*])=O,1b(DMABA)
A,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C([*])=O,5b(BOC)
A,CN(C)CCCC(=O)NC1=CC=C(C=C1)C([*])=O,5b(DMABA)
A,CC(C)(C)OC(=O)NC1=CC(=CC=C1)C([*])=O,6b(BOC)
A,CN(C)CCCC(=O)NC1=CC(=CC=C1)C([*])=O,6b(DMABA)
A,CC(C)(C)OC(=O)NC1=NC(=CS1)C([*])=O,7b(BOC)
A,CN(C)CCCC(=O)NC1=NC(=CS1)C([*])=O,7b(DMABA)
A,CC(C)(C)OC(=O)NC1=CSC(=C1)C([*])=O,8b(BOC)
A,CN(C)CCCC(=O)NC1=CSC(=C1)C([*])=O,8b(DMABA)
A,CN1C=C(NC(=O)OC(C)(C)C)N=C1C([*])=O,9b(BOC)
A,CN(C)CCCC(=O)NC1=CN(C)C(=N1)C([*])=O,9b(DMABA)
A,CC(C)(C)OC(=O)N1CCC2=C1C=CC1=C2C=C(N1)C([*])=O,10b(BOC)
A,CN(C)CCCC(=O)N1CCC2=C1C=CC1=C2C=C(N1)C([*])=O,10b(DMABA)
A,CC(C)(C)OC(=O)NC1=CC2=C(SC(=C2)C([*])=O)C=C1,11b(BOC)
A,CN(C)CCCC(=O)NC1=CC2=C(SC(=C2)C([*])=O)C=C1,11b(DMABA)
A,CC(C)(C)OC(=O)NC1=CC2=C(OC(=C2)C([*])=O)C=C1,12b(BOC)
A,CN(C)CCCC(=O)NC1=CC2=C(OC(=C2)C([*])=O)C=C1,12b(DMABA)
A,CC(C)(C)OC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,13b(BOC)
A,CN(C)CCCC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,13b(DMABA)
B,CN1C=C(N[*:1])C=C1C([*:2])=O,1b
B,[*:1]NC1=CC=C(C=C1)C([*:2])=O,5b
B,[*:1]NC1=CC(=CC=C1)C([*:2])=O,6b
B,[*:1]NC1=NC(=CS1)C([*:2])=O,7b
B,[*:1]NC1=CSC(=C1)C([*:2])=O,8b
B,CN1C=C(N[*:1])N=C1C([*:2])=O,9b
B,[*:1]N1CCC2=C1C=CC1=C2C=C(N1)C([*:2])=O,10b
B,[*:1]NC1=CC2=C(SC(=C2)C([*:2])=O)C=C1,11b
B,[*:1]NC1=CC2=C(OC(=C2)C([*:2])=O)C=C1,12b
B,[*:1]NC1=CC2=C(NC(=C2)C([*:2])=O)C=C1,13b
B,[*:1]NC1=CC2=C(C=C1)N=C(O2)C([*:2])=O,14b
C,COC(=O)C1=CC(N[*])=CN1C,1a
C,COC(=O)C1=CC=C(N[*])C=C1,5a
C,COC(=O)C1=CC=CC(N[*])=C1,6a
C,CCOC(=O)C1=CSC(N[*])=N1,7a
C,COC(=O)C1=CC(N[*])=CS1,8a
C,CCOC(=O)C1=NC(N[*])=CN1C,9a
C,COC(=O)C1=CC2=C(N1)C=CC1=C2CCN1[*],10a
C,COC(=O)C1=CC2=C(S1)C=CC(N[*])=C2,11a
C,COC(=O)C1=CC2=C(O1)C=CC(N[*])=C2,12a
C,CCOC(=O)C1=CC2=C(N1)C=CC(N[*])=C2,13a
C,COC(=O)C1=NC2=C(O1)C=C(N[*])C=C2,14a
C,COC(=O)C1=NC2=C(N1)C=CC(N[*])=C2,15a
