SMILES,IC50,censored,combinatorial
CN1C=C(NC(=O)C2=CC(NC(=O)C3=CC(NC=O)=CN3C)=CN2C)C=C1C(=O)NCCC(N)=N,42.0,False,False
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)cn1C,32.0,False,False
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cn1C,100.0,False,False
CNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cn2C)cn1C,100.0,False,False
CN(C)CCCC(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)N(C)C)n(C)c3)n(C)c2)n(C)c1,100.0,False,False
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cn2C)cn1C,10.0,True,False
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)CCCN(C)C)ccc5[nH]4)ccc3s2)cn1C,,False,True
CNC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)CCCN(C)C)ccc5[nH]4)ccc3s2)cn1C,19.0,False,False
CN(C)CCCC(=O)Nc1ccc2[nH]c(cc2c1)C(=O)Nc1ccc2sc(cc2c1)C(=O)Nc1cc(C(=O)N(C)C)n(C)c1,23.0,False,False
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)CCCN(C)C)ccc5[nH]4)ccc3s2)cn1C,33.0,False,False
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)OC(C)(C)C)ccc5[nH]4)ccc3s2)cn1C,0.43,False,False
Cn1cc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC=O)ccc5[nH]4)ccc3s2)cc1C(=O)NCCC(N)=N,0.72,False,False
CCOC(=O)c1cc2cc(NC(=O)c3cc4cc(NC(=O)c5cc6cc(NC(=O)OC(C)(C)C)ccc6o5)ccc4o3)ccc2[nH]1,1.4,False,True
COC(=O)c1cccc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)OC(C)(C)C)ccc5o4)ccc3o2)c1,100.0,True,True
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)OC(C)(C)C)ccc5o4)ccc3o2)cn1C,1.8,False,True
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)OC(C)(C)C)ccc5o4)ccc3o2)cn1C,0.029,False,True
CCOC(=O)C1=CC2=C(N1)C=CC(NC(=O)c1ccc(NC(=O)C3=Cc4cc(NC(=O)OC(C)(C)C)ccc4O3)cc1)=C2,2.7,False,True
COC(=O)C1=CC=CC(NC(=O)c2ccc(NC(=O)C3=Cc4cc(NC(=O)OC(C)(C)C)ccc4O3)cc2)=C1,100.0,True,True
COC(=O)C1=CC(NC(=O)c2ccc(NC(=O)C3=Cc4cc(NC(=O)OC(C)(C)C)ccc4O3)cc2)=CN1C,100.0,True,True
CCOC(=O)C1=NC(NC(=O)c2ccc(NC(=O)C3=Cc4cc(NC(=O)OC(C)(C)C)ccc4O3)cc2)=CN1C,0.42,False,True
CCOC(=O)c1cc2cc(NC(=O)c3cc4cc(NC(=O)c5cc6cc(NC(=O)OC(C)(C)C)ccc6s5)ccc4o3)ccc2[nH]1,3.4,False,True
COC(=O)C1=CC=CC(NC(=O)C2=Cc3cc(NC(=O)C4=Cc5cc(NC(=O)OC(C)(C)C)ccc5S4)ccc3O2)=C1,51.0,False,True
COC(=O)C1=CC(NC(=O)C2=Cc3cc(NC(=O)C4=Cc5cc(NC(=O)OC(C)(C)C)ccc5S4)ccc3O2)=CN1C,46.0,False,True
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cc5cc(NC(=O)OC(C)(C)C)ccc5s4)ccc3o2)cn1C,0.069,False,True
CCOC(=O)C1=CC2=C(N1)C=CC(NC(=O)c1ccc(NC(=O)c3cc4cc(NC(=O)OC(C)(C)C)ccc4s3)cc1)=C2,5.2,False,True
COC(=O)C1=CC=CC(NC(=O)c2ccc(NC(=O)c3cc4cc(NC(=O)OC(C)(C)C)ccc4s3)cc2)=C1,100.0,True,True
COC(=O)C1=CC(NC(=O)c2ccc(NC(=O)c3cc4cc(NC(=O)OC(C)(C)C)ccc4s3)cc2)=CN1C,100.0,True,True
CCOC(=O)C1=NC(NC(=O)c2ccc(NC(=O)c3cc4cc(NC(=O)OC(C)(C)C)ccc4s3)cc2)=CN1C,3.7,False,True
COC(=O)C1=CC2=C(N1)C=CC1=C2CCN1C(=O)C1=CC(NC(=O)c2cc3cc(NC(=O)CCCN(C)C)ccc3s2)=CS1,0.46,False,True
CCOC(=O)C1=CC2=C(N1)C=CC(NC(=O)C1=CC3=C(S1)C=CC(NC(=O)c1cc4cc(NC(=O)CCCN(C)C)ccc4o1)=C3)=C2,0.32,False,True
CCOC(=O)C1=CC2=C(N1)C=CC(NC(=O)C1=CC3=C(S1)C=CC(NC(=O)C1=NC(NC(=O)CCCN(C)C)=CN1C)=C3)=C2,3.2,False,True
COC(=O)C1=CC(NC(=O)C2=CC(NC(=O)C3=CC(NC(=O)CCCN(C)C)=CN3C)=CN2C)=CN1C,44.0,False,True
